Code,Company,Quantity,Avg Cost,Current Price,Market Value,Profit/Loss $,Profit/Loss %
CBA,Commonwealth Bank of Australia,50,95.50,152.30,7615.00,2840.00,59.58
BHP,BHP Group Limited,100,42.15,45.80,4580.00,365.00,8.66
CSL,CSL Limited,15,280.00,298.50,4477.50,277.50,6.61
WBC,Westpac Banking Corporation,200,21.30,25.40,5080.00,820.00,19.25
ANZ,ANZ Group Holdings Limited,150,24.50,28.90,4335.00,660.00,17.95
VAS,Vanguard Australian Shares Index ETF,80,85.20,95.40,7632.00,816.00,11.97
VGS,Vanguard MSCI Index International Shares ETF,60,95.00,118.50,7110.00,1410.00,24.74
TLS,Telstra Group Limited,500,3.80,3.95,1975.00,75.00,3.95
WES,Wesfarmers Limited,40,52.00,73.80,2952.00,872.00,41.92
WOW,Woolworths Group Limited,75,35.50,32.40,2430.00,-232.50,-8.73
RIO,Rio Tinto Limited,30,115.00,118.60,3558.00,108.00,3.13
NAB,National Australia Bank Limited,120,28.40,37.50,4500.00,1092.00,32.04
MQG,Macquarie Group Limited,20,185.00,218.40,4368.00,668.00,18.05
AFI,Australian Foundation Investment Company,100,7.20,7.85,785.00,65.00,9.03
A200,BetaShares Australia 200 ETF,50,120.50,135.20,6760.00,735.00,12.19
